g.NS.time   B1.FAR      S1.N        B1.Wfuel    FNo.Tt      
4.07999999  0.03043534  10471.4506  34.2234742  3240.64924  
4.08999999  0.03043676  10471.9177  34.2303294  3240.78407  
4.09999999  0.03043817  10472.3814  34.2371198  3240.91716  
4.10999999  0.03043955  10472.8416  34.2438455  3241.04851  
4.11999999  0.03044091  10473.2983  34.2505069  3241.17813  
4.12999999  0.03044224  10473.7516  34.2571044  3241.30605  
4.13999999  0.03044355  10474.2015  34.2636381  3241.43226  
4.14999999  0.03044484  10474.6480  34.2701084  3241.55678  
4.15999999  0.03044611  10475.0910  34.2765156  3241.67962  
4.16999999  0.03044736  10475.5307  34.2828600  3241.80080  
4.17999999  0.03044858  10475.9669  34.2891419  3241.92032  
4.18999999  0.03044978  10476.3998  34.2953615  3242.03820  
4.19999999  0.03045096  10476.8293  34.3015193  3242.15444  
4.20999999  0.03045212  10477.2554  34.3076154  3242.26907  
4.21999999  0.03045326  10477.6782  34.3136502  3242.38207  
4.22999999  0.03045437  10478.0976  34.3196239  3242.49348  
4.23999999  0.03045547  10478.5138  34.3255370  3242.60330  
4.24999999  0.03045654  10478.9266  34.3313896  3242.71155  
4.25999999  0.03045760  10479.3361  34.3371821  3242.81822  
4.26999999  0.03045863  10479.7423  34.3429147  3242.92334  
4.27999999  0.03045964  10480.1452  34.3485879  3243.02691  
4.28999999  0.03046064  10480.5449  34.3542018  3243.12895  
4.29999999  0.03046161  10480.9413  34.3597568  3243.22947  
4.30999999  0.03046256  10481.3344  34.3652531  3243.32847  
4.31999999  0.03046349  10481.7244  34.3706912  3243.42597  
4.32999999  0.03046441  10482.1111  34.3760712  3243.52198  
4.33999999  0.03046530  10482.4946  34.3813935  3243.61651  
4.34999999  0.03046618  10482.8748  34.3866583  3243.70957  
4.35999999  0.03046703  10483.2519  34.3918661  3243.80117  
4.36999999  0.03046787  10483.6259  34.3970171  3243.89132  
4.37999999  0.03046869  10483.9966  34.4021115  3243.98004  
4.38999999  0.03046949  10484.3642  34.4071497  3244.06733  
4.39999999  0.03047027  10484.7287  34.4121320  3244.15320  
4.40999999  0.03047104  10485.0900  34.4170587  3244.23766  
